NAICS code,Subsector and industry,Total (trillion Btu),Total unit flag (m = million),Net electricity (million kilowatthours),Residual fuel oil (million barrels),Distillate fuel oil (million barrels),Natural gas (billion cubic feet),Natural gas unit flag (m = million),HGL natural gasoline (million barrels),Coal (million short tons),Coke and breeze (million short tons),Hydrogen (trillion Btu),Other unit flag (m = million),Other (trillion Btu),Net steam unit flag (m = million),Net steam and byproduct gases (trillion Btu)
,,Total United States,,,,,,,,,,,,,,
   336110,   Automobile and Light Duty Motor Vehicle Manufacturing,43,,3795,0,*,24,,*,0,0,,,5,,0
 3364, Aerospace Product and Parts,17,,2412,0,*,8,,*,0,0,,,1,,0
   336411,   Aircraft,4,,509,0,*,2,,*,0,0,,,*,,0
337,Furniture and Related Products,15,,1929,0,*,7,,*,0,0,,,Q,,0
339,Miscellaneous,29,,4552,0,*,13,,*,0,0,,,*,,0
,Total,5027,m,256007,1,3,2105,m,44,24,9,5,m,1105,,21
,,South Census Region,,,,,,,,,,,,,,
311,Food,386,,23131,*,1,194,,1,*,0,,,100,,0
 3112, Grain and Oilseed Milling,47,,3245,*,*,29,,*,*,0,,,6,,0
   311221,   Wet Corn Milling and Starch Manufacturing,8,,265,0,*,4,,*,*,0,,,3,,0
  31131,  Sugar Manufacturing,105,,468,0,*,9,,*,0,0,,,93,,0
 3114, Fruit and Vegetable Preserving and Specialty Food ,28,,2083,0,*,20,,*,0,0,,,*,,0
 3115, Dairy Product Manufacturing,38,,1926,0,*,29,,*,0,0,,,*,,0
 3116, Animal Slaughtering and Processing,107,,10467,0,*,66,,*,0,0,,,1,,0
312,Beverage and Tobacco Products,Q,,7517,0,*,Q,,*,*,0,,,*,,0
 3121, Beverages,Q,,6818,0,*,Q,,*,*,0,,,*,,0
 3122, Tobacco ,6,,699,0,*,4,,*,0,0,,,*,,0
313,Textile Mills,47,,7651,0,*,18,,*,*,0,,,2,,0
314,Textile Product Mills,15,,2370,0,*,7,,*,0,0,,,*,,0
315,Apparel,2,,343,0,*,1,,*,0,0,,,*,,0
316,Leather and Allied Products,*,,83,0,*,*,,*,0,0,,,*,,0
321,Wood Products,237,,11588,0,1,42,,*,0,0,,,146,,0
   321113,   Sawmills,126,,5047,0,1,11,,*,0,0,,,93,,0
 3212," Veneer, Plywood, and Engineered Wood Product Manufacturing",75,,2999,0,*,18,,*,0,0,,,45,,0
   321219,   Reconstituted Wood Products,40,,1797,0,*,11,,*,0,0,,,22,,0
 3219, Other Wood Products,29,,3238,0,*,Q,,*,0,0,,,7,,0
322,Paper,1386,,25530,1,*,330,,*,1,0,,,927,,0
   322110,   Pulp Mills,306,,1005,*,*,46,,*,*,0,,,252,,0
   322120,   Paper Mills,184,,6591,*,*,61,,*,*,0,,,88,,0
   322130,   Paperboard Mills,818,,10976,*,*,193,,*,1,0,,,565,,0
323,Printing and Related Support,14,,2637,0,*,4,,*,0,0,,,0,,0
324,Petroleum and Coal Products,2267,m,28150,*,1,626,m,4,1,0,18,m,1526,,70
   324110,   Petroleum Refineriesl,1907,m,26864,0,*,588,m,4,0,0,18,m,1172,,0
   324121,   Asphalt Paving Mixture and Block,188,,519,*,*,19,,*,0,0,,,164,,0
   324122,   Asphalt Shingle and Coating Materials,113,,398,0,*,6,,*,0,0,,,106,,0
   324191,   Petroleum Lubricating Oil and Grease Manufacturing,12,,455,0,*,10,,*,0,0,,,*,,0
   324199,   All Other Petroleum and Coal Products Manufacturing,46,,-87,0,*,3,,*,1,0,,,84,,70
325,Chemicals,5810,,77066,3,1,2257,,936,2,0,,,760,,567
   325110,   Petrochemicals,1945,,7581,0,*,390,,514,*,0,,,373,,442
   325120,   Industrial Gases,D,,7079,0,*,D,,*,0,0,,,D,,D
   325180,   Other Basic Inorganic Chemical Manufacturing,401,,18777,3,*,182,,7,*,0,,,103,,0
   325193,   Ethyl Alcohol ,12,,293,0,*,10,,*,0,0,,,*,,0
   325194,"   Cyclic Crudes, Intermediate and Gum and Wood Chemicals",336,,4329,0,*,116,,61,*,0,,,29,,0
   325199,   All Other Basic Organic Chemical Manufacturing,D,,13238,0,*,321,,80,1,0,,,87,,D
   325211,   Plastics Materials and Resins,1385,,7096,0,*,521,,253,0,0,,,89,,84
   325212,   Synthetic Rubber,47,,1118,0,*,25,,1,*,0,,,13,,0
   325220,   Artificial and Synthetic Fibers and Filaments,24,,2294,0,*,16,,*,0,0,,,*,,0
   325311,   Nitrogenous Fertilizers,386,,2425,0,*,364,,*,0,0,,,*,,0
   325312,   Phosphatic Fertilizers,9,,1271,0,*,1,,*,*,0,,,*,,0
 3254, Pharmaceuticals and Medicines,25,,3556,0,*,12,,*,0,0,,,*,,0
   325412,   Pharmaceutical Preparation,14,,1987,0,*,7,,*,0,0,,,*,,0
   325992,"   Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",1,,184,0,*,1,,*,0,0,,,*,,0
326,Plastics and Rubber Products,134,,28261,0,*,31,,1,0,0,,,Q,,0
327,Nonmetallic Mineral Products,439,,32636,0,2,178,,*,3,*,,,67,,0
   327120 ,   Clay Building Material and Refractories,26,,1011,0,*,20,,*,0,0,,,2,,0
   327211,   Flat Glass,17,,638,0,*,14,,*,0,0,,,*,,0
   327212,   Other Pressed and Blown Glass and Glassware,13,,1096,0,*,8,,*,0,0,,,*,,0
   327213,   Glass Containers,19,,1121,0,*,14,,*,0,0,,,*,,0
   327215,   Glass Products from Purchased Glass,9,,1673,0,*,3,,*,0,0,,,*,,0
   327310,   Cements,169,,5497,0,*,47,,*,2,*,,,58,,0
   327410,   Lime,37,,652,0,*,10,,*,1,*,,,5,,0
   327420,   Gypsum,40,,953,0,*,35,,*,0,0,,,*,,0
